item_code,item,unit,item_group,item_category,2023-05-02,2023-05-03,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,,9.4,9.4,,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,,,,,,10.978,,11.041428571428572,,,,,,,11.131666666666668,,,,,,,11.131666666666668,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,20.896666666666665,,20.896666666666665,,,,,,,23.3,,,,,,,23.3,,24.95
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,4.589,,4.74,,,,,,,4.68,4.0,,,,,,4.84,,
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,7.25,6.19,6.19,6.19,6.455625,6.19,6.377857142857144,6.19,6.19,6.875,7.25,,,6.264285714285714,6.625,7.25,7.25,7.25,,,6.347058823529412,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.833333333333333,,5.833333333333333,,,,,,,5.833333333333333,,,,,,,6.0,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,3.9975,,3.2980000000000005,,,1.99,,,,3.6666666666666665,,,,,,,4.133333333333334,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.19,2.59,2.19,2.19,2.19,3.266923076923077,2.19,3.2072727272727275,1.79,1.79,,,,,2.982222222222222,2.645,1.79,4.19,4.19,4.19,2.19,3.084,2.19,
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,9.39,9.39,9.39,9.39,,10.348333333333334,,9.898333333333333,9.39,9.39,9.39,9.39,9.39,9.39,9.797142857142857,7.39,7.39,9.39,,,,10.3975,,12.0
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.297142857142857,,5.346666666666667,,,5.99,,,,5.218,7.0,,,,,,5.666666666666667,,
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,4.69,3.99,3.99,3.99,4.39875,3.99,4.351176470588236,4.69,4.69,3.4933333333333336,1.99,1.99,4.69,3.9685,3.245,1.99,4.69,3.89,3.89,4.69,4.2563157894736845,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,18.79,18.79,,15.79,15.99,21.045,15.99,22.596,15.79,,22.99,22.29,22.29,22.29,23.263333333333332,17.39,17.39,22.29,16.99,16.99,22.29,22.62,22.29,16.99
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,,,2.6,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,5.99,5.99,5.59,6.521111111111111,5.99,6.329,4.39,4.39,5.99,5.99,5.99,5.99,6.649000000000001,6.495,5.99,5.99,4.29,4.29,5.99,6.62375,5.99,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,5.5,,5.5,,,,,,,,,,,,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,26.733333333333334,,26.349999999999998,,,,,,,27.08090909090909,28.0,,,,,,27.135714285714283,,25.0
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,11.669130434782607,,11.66551724137931,,,,,,,12.047931034482758,15.0,,,,,,12.0434375,,
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,11.725,,11.975,,,,,,,11.316666666666668,13.0,,,,,,11.5,,7.0
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,39.0,,39.300000000000004,,,,,,,39.300000000000004,38.0,,,,,,39.300000000000004,,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,30.0,,,,,,,,,,,,,,,,,,
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,15.866666666666667,,17.211111111111112,,,,,,,16.99083333333333,19.0,,,,,,16.627857142857142,,
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,40.128571428571426,,40.271428571428565,,,,,,,40.128571428571426,45.0,,,,,,40.55714285714286,,
64,KEPALA IKAN MERAH,1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,35.0,,35.0,,,,,,,35.0,,,,,,,35.0,,
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,,,,,,,,,,27.0,,
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,18.9,,18.9,,,,,,,18.9,,,,,,,18.9,,
68,IKAN PARI (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,27.650000000000002,,26.7,,,,,,,31.3,,,,,,,32.38,,
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,14.98,,15.225,,,,,,,15.38,17.0,,,,,,15.0,,
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,22.19,,21.05625,,,20.0,,,,20.468421052631577,22.0,,,,,,20.74375,,
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,11.49,11.49,11.49,11.49,11.49,12.580384615384617,11.99,13.970645161290324,,10.99,13.663333333333334,10.99,10.99,,13.305757575757575,15.495000000000001,12.99,12.99,12.99,12.99,,13.363,,
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,26.5,,26.666666666666668,,,,,,,27.0,29.0,,,,,,26.45,,
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,13.0,,13.0,,,,,,,13.0,,,,,,,13.0,,
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,33.9,,33.9,,,,,,,34.95,,,,,,,36.0,,
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,42.0,,42.0,,,,,,,41.25,45.0,,,,,,39.75,,
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,12.49,12.49,12.49,12.49,12.49,13.081363636363637,13.99,13.5556,,10.99,12.995000000000001,10.99,10.99,,13.7875,15.995000000000001,13.99,13.99,13.99,13.99,,13.202580645161289,11.0,11.0
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,9.99,9.99,9.99,9.99,9.99,11.53,9.99,11.490833333333333,9.99,9.99,9.99,9.99,9.99,9.99,11.262727272727274,10.995000000000001,9.99,9.99,9.99,9.99,,11.642857142857142,,
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,,,,,,10.5,,11.0,,,,,,,11.0,12.0,,,,,,10.5,,
92,CILI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,11.89,11.89,11.89,11.89,11.89,14.029189189189191,11.89,14.039750000000002,11.89,11.89,13.1975,13.19,13.19,13.19,14.210833333333333,14.594999999999999,13.19,13.19,13.19,13.19,13.19,14.221351351351354,13.19,
93,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.49,16.49,,,,16.26764705882353,,15.700000000000001,,,,,,,15.75294117647059,17.0,,,,,,15.662162162162161,,
94,CILI MERAH - MINYAK,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,17.89,17.89,13.79,16.037692307692307,13.79,15.917142857142858,11.49,11.49,15.363333333333335,11.59,11.59,11.59,16.166296296296295,11.59,10.59,10.59,10.59,10.59,10.59,16.388965517241378,17.795,27.0
95,HALIA BASAH (TUA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.89,12.89,10.49,10.49,9.39,10.558305084745763,9.39,11.06584,11.69,11.69,10.937999999999999,,,8.69,11.251544715447155,10.094999999999999,11.69,11.69,11.69,11.69,11.69,11.847438016528926,11.69,13.990909090909092
96,KACANG BENDI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,10.19271186440678,,10.23983870967742,,,8.33,,,,10.237499999999999,8.0,,,,,,9.781636363636364,,9.975
97,KACANG BUNCIS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,12.073695652173912,,12.500869565217391,,,11.633333333333333,,,,12.442340425531913,18.0,,,,,,13.097555555555555,,12.233333333333334
98,KACANG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,9.538085106382978,,9.405882352941177,,,8.95,,,,9.439772727272727,12.0,,,,,,9.838636363636363,,9.4
101,KELAPA BIJI,1 biji,BARANGAN SEGAR,KELAPA,,,,,,2.5647058823529414,,2.533333333333333,,,,,,,2.533333333333333,2.8,,,,,,2.533333333333333,2.5,2.5
102,KELAPA PARUT,1kg,BARANGAN SEGAR,KELAPA,,,,,,10.0,,10.0,,,,,,,10.0,,,,,,,10.0,,
103,SANTAN KELAPA SEGAR (BIASA),1kg,BARANGAN SEGAR,KELAPA,,,,,,7.9,,7.9,,,,,,,8.1,5.5,,,,,,8.1,,
104,KUBIS BULAT IMPORT (CHINA),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,3.7838709677419353,,3.7803225806451612,,,4.0,,,,3.760625,3.5,,,,,,3.7684848484848485,,4.5
105,KUBIS BULAT (TEMPATAN),1kg,BARANGAN SEGAR,SAYUR-SAYURAN,2.29,2.29,,,,4.48625,2.29,4.765185185185185,,2.29,2.64,2.69,2.69,2.69,4.997999999999999,2.69,2.69,2.69,2.69,2.69,2.69,4.779,2.69,6.0
108,KUNYIT HIDUP,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.89,6.89,6.89,6.89,6.89,9.542539682539681,6.89,9.656615384615383,6.89,6.89,8.4475,6.89,6.89,6.89,9.67672131147541,8.445,6.89,6.89,6.89,6.89,6.89,9.557424242424242,6.89,
109,LOBAK MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,5.339154929577465,,5.381298701298702,3.69,3.69,4.945,3.79,3.79,3.79,5.294415584415584,4.895,3.49,3.49,3.49,3.49,3.49,5.268311688311688,4.995,6.048333333333333
112,TERUNG PANJANG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,13.59,13.59,13.59,11.49,11.49,9.048695652173913,11.49,9.034489795918367,13.59,13.59,12.295,13.59,13.59,13.59,8.671509433962264,10.795,9.59,9.59,9.59,9.59,9.59,8.6078,9.59,9.2
113,TIMUN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,3.49,3.49,3.49,3.49,3.49,4.217037037037037,3.49,4.211975308641976,3.49,3.49,4.496666666666667,,,,4.215999999999999,4.145,3.29,3.29,4.39,4.39,4.39,4.438875,,4.5
114,TOMATO,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,3.79,5.657,3.79,5.5714999999999995,3.99,3.99,5.156000000000001,,,,5.457051282051282,6.0,,,,,,5.393703703703704,,7.5
118,TELUR AYAM GRED A (BERAT 65.0 GM HINGGA 69.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,,,4.55,,4.554545454545455,,,,,,,4.554545454545455,,,,,,,4.566666666666666,,
119,TELUR AYAM GRED B (BERAT 60.0 GM HINGGA 64.9 GM),10 biji,BARANGAN SEGAR,TELUR,,,,,,4.434615384615385,,4.42962962962963,,,,,,,4.425,4.3,,,,,,4.425,,
120,TELUR AYAM GRED C (BERAT 55.0 GM HINGGA 59.9 GM SEBIJI),10 biji,BARANGAN SEGAR,TELUR,,,,,,4.1,,4.1,,,,,,,4.1,,,,,,,4.1,,
