item_code,item,unit,item_group,item_category,2023-02-02,2023-02-06,2023-02-07,2023-02-08,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28
1558,SAWI HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.861346153846155,,,,,,,7.385272727272727,,,,,7.373035714285714,,,,,,,7.292407407407408,
1559,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,6.9559375,,,,,,,7.541176470588234,,,,,7.5297297297297305,,,,,,,7.339024390243902,
1560,KAILAN,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.87241379310345,,,,,,,11.485714285714286,,,,,11.357692307692307,,,,,,,10.96,
1561,TAUGE KACANG HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,4.234285714285714,,3.89,3.89,3.89,3.89,3.89,4.338367346938775,3.89,3.89,3.89,3.89,4.3557999999999995,3.89,3.89,3.89,3.89,3.89,3.89,4.354528301886792,3.89
1562,UDANG KERING,100 g,BARANGAN KERING,HASIL LAUT KERING,7.278571428571429,,,,,,,7.4,,,,,7.375,,,,,,,7.20625,
1563,SOTONG KERING (SAIZ SERDAHANA),1kg,BARANGAN KERING,HASIL LAUT KERING,59.333333333333336,,,,,,,59.333333333333336,,,,,50.0,,,,,,,50.0,
1564,BAWANG PUTIH IMPORT (CHINA),1kg,BARANGAN KERING,BAWANG,8.285416666666666,,6.89,6.89,6.89,6.89,6.89,8.378251748251747,6.89,6.89,6.89,6.89,8.40472602739726,6.89,6.89,6.89,6.89,6.89,6.89,8.38777027027027,6.89
1567,SERBUK KARI DAGING (TIDAK BERBUNGKUS),100 g,BARANGAN BERBUNGKUS,REMPAH RATUS (TIDAK BERBUNGKUS),,,,,,,,,,,,,2.0,,,,,,,2.0,
1568,SERBUK KARI IKAN ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.623395061728395,,,,,,,5.609245283018868,,,,,5.6119108280254775,,,,,,,5.607267080745341,
1569,SERBUK KARI IKAN ALAGAPPAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.031034482758621,,,,,,,5.006785714285714,,,,,5.034137931034483,,,,,,,5.003,
1570,SERBUK KARI AYAM DAN DAGING ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.681951219512196,,,,,,,5.703099415204679,,,,,5.711734104046243,,,,,,,5.708461538461538,
1571,SERBUK KARI DAGING ALAGAPPAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.0,,,,,,,4.966296296296297,,,,,5.021071428571429,,,,,,,4.978214285714286,
1572,SERBUK KARI DAGING BABAS,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.519718309859155,,,,,,,5.524766355140187,,,,,5.524299065420561,,,,,,,5.523222748815166,
1573,SERBUK KURMA AYAM & DAGING ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),7.764557823129253,,,,,,,7.775555555555556,,,,,7.7588,,,,,,,7.752133333333333,
1575,SERBUK KURMA BABAS,125 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),3.5224770642201833,,,,,,,3.531603773584906,,,,,3.529816513761468,,,,,,,3.5359090909090907,
1576,SERBUK KARI KURMA ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.4,,,,,,,5.39,,,,,5.39,,,,,,,5.433333333333334,
1577,SERBUK PERENCAH SUP ADABI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),7.640718954248366,,,,,,,7.635194805194804,,,,,7.630196078431373,,,,,,,7.641012658227848,
1578,SERBUK REMPAH SUP MAK SITI,250 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),7.9625,,,,,,,7.819999999999999,,,,,7.878571428571428,,,,,,,7.992857142857143,
1579,SERBUK SUP FAIZA,220 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.695384615384615,,,,,,,5.695384615384615,,,,,5.678333333333334,,,,,,,5.649230769230769,
1581,BERAS CAP RAMBUTAN (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,26.0,,,,,,,26.0,,,,,26.0,,,,,,,26.0,
1582,BERAS CAP JASMINE (SST5%),10 kg,BARANGAN BERBUNGKUS,BERAS,25.968421052631577,,,,,,,25.95,,,,,25.95263157894737,,,,,,,25.95263157894737,
1585,BIHUN KERING IMPORT (CAP BINTANG),400 g,BARANGAN BERBUNGKUS,BIHUN,3.8022727272727277,,,,,,,3.75,,,,,3.764583333333333,,,,,,,3.798,
1586,ROTI SANDWICH MASSIMO DENGAN GERMA GANDUM,400 g,BARANGAN BERBUNGKUS,ROTI,3.4,,,,,,,3.4,,,,,3.4,,,,,,,3.4,
1587,GULA HALUS CASTOR (PELBAGAI JENAMA),+- 500g,BARANGAN BERBUNGKUS,GULA,3.0545945945945947,,,,,,,3.062173913043478,,,,,3.0667567567567566,,,,,,,3.0457534246575344,
1588,GULA MERAH LEMBUT (PELBAGAI JENAMA),+- 500g,BARANGAN BERBUNGKUS,GULA,3.4107692307692306,,,,,,,3.4015625,,,,,3.3984126984126983,,,,,,,3.4092307692307693,
1589,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,2.85,,,,,,,2.85,,,,,2.85,,,,,,,2.85,
1590,GULA PUTIH BERTAPIS HALUS (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,2.95,,,,,,,2.95,,,,,2.95,,,,,,,2.9500000000000006,
1591,TEPUNG BERAS (PELBAGAI JENAMA),500 g,BARANGAN BERBUNGKUS,TEPUNG,2.522538860103627,,,,,,,2.525897435897436,,,,,2.524234693877551,,,,,,,2.5243076923076924,
1594,TEPUNG PULUT (PELBAGAI JENAMA),500 g,BARANGAN BERBUNGKUS,TEPUNG,3.7259313725490197,,,,,,,3.7215422885572136,,,,,3.7219306930693072,,,,,,,3.724285714285714,
1595,MINYAK JAGUNG CAP DAISY,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.825581395348838,,,,,,,30.909999999999997,,,,,30.897222222222222,,,,,,,31.090540540540538,
1596,MINYAK JAGUNG CAP MAZOLA,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,28.6,,,,,,,28.6,,,,,27.9,,,,,,,,
1597,MINYAK JAGUNG CAP VECORN,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,32.4121875,,,,,,,32.53068965517242,,,,,32.49964285714286,,,,,,,32.34818181818182,
1598,MINYAK MASAK SEBATIAN CAP HELANG,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,16.270487804878048,,,,,,,16.194,,,,,16.09970588235294,,,,,,,16.16735294117647,
1599,MINYAK MASAK SEBATIAN CAP NEPTUNE,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,17.566666666666666,,,,,,,17.0125,,,,,17.0125,,,,,,,17.0125,
1600,MINYAK MASAK SEBATIAN CAP PISAU,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,16.389705882352942,,15.3,13.3,13.3,13.3,13.3,16.40921052631579,13.3,13.3,13.3,13.3,16.373255813953488,13.3,13.3,13.3,13.3,13.3,13.3,16.30568181818182,13.3
1601,MINYAK MASAK TULEN CAP BURUH,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.300000000000002,,13.3,13.3,13.3,13.3,13.3,13.3,,,,,13.3,,,,,,,13.300000000000002,
1602,MINYAK MASAK TULEN CAP VESAWIT,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
1603,MINYAK SAPI CAP WINDMILL GHEEBLEND,400 g,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,17.584078947368422,,,,,,,17.6332,,,,,17.670135135135133,,,,,,,17.66697368421053,
1604,ASAM JAWA (TIDAK BERBIJI) ADABI,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.859777777777778,,,,,,,4.868947368421053,,,,,4.86036496350365,,,,,,,4.8599248120300755,
1605,GARAM HALUS BIASA (PELBAGAI JENAMA),+-350g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),1.1883783783783783,,,,,,,1.216986301369863,,,,,1.1907042253521125,,,,,,,1.187887323943662,
1606,MENTEGA KACANG HALUS LADY'S CHOICE,500 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),16.98148148148148,,,,,,,17.013793103448275,,,,,17.041379310344826,,,,,,,17.07,
1607,LEPAAN FARMCOWS,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),5.993181818181818,,,,,,,5.969047619047619,,,,,5.913888888888889,,,,,,,5.897368421052631,
1608,LEPAAN BUTTERCUP,250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.273333333333333,,,,,,,7.1392,,,,,7.213673469387755,,,,,,,7.26,
1609,MENTEGA SCS (SALTED),250 g,BARANGAN BERBUNGKUS,MENTEGA,16.0,,,,,,,16.0,,,,,16.0,,,,,,,16.0,
1610,SANTAN KELAPA JENAMA M&S,500 ml,BARANGAN BERBUNGKUS,SANTAN (KOTAK),6.465800000000001,,,,,,,6.5260869565217385,,,,,6.504347826086956,,,,,,,6.475333333333333,
1611,SANTAN KELAPA JENAMA KARA,200 ml,BARANGAN BERBUNGKUS,SANTAN (KOTAK),3.1950273224043717,,,,,,,3.1864606741573036,,,,,3.1907065217391306,,,,,,,3.1946560846560845,
1612,SANTAN KELAPA JENAMA HARMUNI,200 ml,BARANGAN BERBUNGKUS,SANTAN (KOTAK),3.21875,,,,,,,3.2384615384615385,,,,,3.2384615384615385,,,,,,,3.292857142857143,
1613,ESEN STAR BRAND 'PELBAGAI PERISA',25 ml,BARANGAN BERBUNGKUS,ESEN DAN RAGI,2.7453551912568304,,,,,,,2.750756756756757,,,,,2.7512972972972976,,,,,,,2.754,
1615,MENTEGA ANCHOR (SALTED),227g,BARANGAN BERBUNGKUS,MENTEGA,12.861666666666666,,,,,,,12.777142857142858,,,,,12.952857142857143,,,,,,,13.009333333333334,
1616,MAURIPAN YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,1.2058558558558559,,,,,,,1.2032407407407408,,,,,1.2166666666666668,,,,,,,1.222566371681416,
1618,SUSU ISIAN PEKAT MANIS CAP F & N,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.35,,,,,,,4.35,,,,,4.35,,,,,,,4.333333333333333,
1619,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,18.824117647058824,,,,,,,18.829473684210527,,,,,18.825000000000003,,,,,,,18.84485714285714,
1623,S-26 SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,56.0948275862069,,,,,,,56.05166666666666,,,,,56.02321428571429,,,,,,,56.053703703703704,
1624,S-26 GOLD SMA RUMUSAN BAYI LANGKAH 1 - (KOTAK),600 g,SUSU DAN BARANGAN BAYI,SUSU BAYI,77.91739130434782,,,,,,,77.81296296296296,,,,,77.825,,,,,,,77.82321428571429,
1628,NESTLE CERELAC GANDUM DAN MADU - KOTAK,225g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,8.8125,,,,,,,8.830357142857142,,,,,8.85344827586207,,,,,,,8.83,
1629,NESTLE CERELAC BERAS MERAH & SUSU - TIN,350 g,SUSU DAN BARANGAN BAYI,MAKANAN BAYI,12.710679611650486,,,,,,,12.72257731958763,,,,,12.733578947368422,,,,,,,12.737666666666668,
1630,BERUS GIGI COLGATE (TWISTER - SOFT),1 batang,PRODUK KEBERSIHAN,PENJAGAAN DIRI,,,,,,,,,,,,,4.428947368421053,,,,,,,,
1635,NESTLE COFFEE-MATE,450 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,8.681666666666667,,,,,,,,
1636,MILO (PAKET),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,9.698054054054055,,,,,,,,
1637,MILO (PAKET),1kg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,21.470904522613065,,,,,,,,
1638,MILO 3 IN 1 (PAKET) - ORIGINAL,30x33g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,25.91578947368421,,,,,,,,
1645,SERBUK KOPI CAP KAPAL API (KASAR) (BERBUNGKUS),180 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,4.693076923076923,,,,,,,,
1646,SERBUK KOPI HANG TUAH ROBUSTA,200 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,5.14,,,,,,,,
1647,TEH LIPTON (SERBUK),400 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,12.003636363636364,,,,,,,,
1650,TEH LIPTON (UNCANG),100 beg,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,15.641632653061222,,,,,,,,
1651,YEO'S SOYA (KOTAK),250 ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,1.147560975609756,,,,,,,,
1804,KEPAK AYAM (CHICKEN WING) (1KG),1kg,BARANGAN SEGAR,AYAM,15.427586206896551,,,,,,,15.474193548387097,,,,,15.433333333333334,,,,,,,15.503225806451614,
1818,KACANG BOTOL,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,16.044444444444444,,,,,,,16.30526315789474,,,,,15.86470588235294,,,,,,,17.03684210526316,
1819,LENGKUAS,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,8.825,,6.25,6.25,,,,8.95,,,6.25,6.25,8.965151515151515,,,6.25,6.25,6.25,6.25,8.835074626865671,6.25
1820,TELUR MASIN,1 biji,BARANGAN SEGAR,TELUR,1.3916666666666666,1.6,,,,,,1.388235294117647,,,,,1.396629213483146,,,,,,,1.4,
1821,TELUR MASIN,4 Biji,BARANGAN SEGAR,TELUR,5.695348837209303,6.4,,,,,,5.673333333333334,,,,,5.687234042553191,,,,,,,5.695744680851065,
1822,BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU,10 kg,BARANGAN BERBUNGKUS,BERAS,28.0,,,,,,,28.0,,,,,28.0,,,,,,,28.0,
1823,BERAS TQR SABAH CAP TKC 5%,10 kg,BARANGAN BERBUNGKUS,BERAS,31.3625,,,,,,,31.3625,,,,,31.32222222222222,,,,,,,31.377777777777776,
1824,BERAS SUPER HUMA CAP KELISA EMAS (SABAH),10 kg,BARANGAN BERBUNGKUS,BERAS,28.575,,,,,,,28.825,,,,,28.7,,,,,,,28.560000000000002,
1825,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,27.44545454545454,,,,,,,27.44545454545454,,,,,27.44545454545454,,,,,,,27.445,
1826,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),10 kg,BARANGAN BERBUNGKUS,BERAS,27.236842105263158,,,,,,,27.225,,,,,27.2,,,,,,,27.163157894736845,
1827,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,3.8600000000000003,,,,,,,3.8545454545454545,,,,,3.8545454545454545,,,,,,,3.8600000000000003,
1828,KICAP SOYA PEKAT MANIS CAP AYAM,330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.4464705882352944,,,,,,,3.4464705882352944,,,,,3.4464705882352944,,,,,,,3.440588235294118,
1829,BUTTERLITE (LEPA SUSU ISTIMEWA),250 g,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),7.5200000000000005,,,,,,,7.5200000000000005,,,,,7.5200000000000005,,,,,,,7.5200000000000005,
1833,BERAS PREMIUM CAP UNCLE TAN,10 kg,BARANGAN BERBUNGKUS,BERAS,30.733333333333334,,,,,,,30.733333333333334,,,,,30.733333333333334,,,,,,,30.733333333333334,
1837,KICAP TONG NAM (DARK SOY SAUCE),330 ml,BARANGAN BERBUNGKUS,KICAP DAN SOS,3.2916666666666665,,,,,,,3.3000000000000003,,,,,3.3333333333333335,,,,,,,3.3285714285714287,
1838,SERBUK KARI IKAN ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.62,,,,,,,4.62,,,,,4.54,,,,,,,4.54,
1839,SERBUK KARI DAGING ALAGAPPAS,200 g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),4.742857142857143,,,,,,,4.742857142857143,,,,,4.8,,,,,,,4.8,
1849,TEPUNG NAIK SENDIRI CAP 'BLUE KEY',1kg,BARANGAN BERBUNGKUS,TEPUNG,5.222428571428571,,,,,,,5.227538461538462,,,,,5.220847457627118,,,,,,,5.227166666666666,
1851,TENOM COFFEE WANG EMAS (SERBUK),180 g,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,3.6,,,,,,,,
1854,KORDIAL F&N SUN VALLEY (GRENADINE),2 liter,MINUMAN,BAHAN-BAHAN MINUMAN,,,,,,,,,,,,,11.412926829268294,,,,,,,,
1870,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP  FAIZA)",1kg,BARANGAN BERBUNGKUS,TEPUNG,3.6,,,,,,,3.6,,,,,3.62,,,,,,,3.62,
1871,KRIMER SEJAT CAIR SAJI,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.4035064935064936,,,,,,,3.4074025974025974,,,,,3.4006666666666665,,,,,,,3.417682926829268,
1872,MAYONIS SEBENAR LADY'S CHOICE,220ml,BARANGAN BERBUNGKUS,SAPUAN (SPREADS),6.89046875,,,,,,,6.913692307692307,,,,,6.925540540540541,,,,,,,6.915454545454546,
1873,KRIMER MANIS CAP TEAPOT,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.855555555555556,,,,,,,3.7666666666666666,,,,,3.8272727272727267,,,,,,,3.8272727272727267,
1876,PELEMBUT PAKAIAN - DOWNY (PREMIUM PARFUM PASSION),800ml,PRODUK KEBERSIHAN,PENJAGAAN RUMAH,,,,,,,,,,,,,12.2012,,,,,,,,
1879,SEVEN UP LEMON & LIME (TIN),320ml,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,1.817241379310345,,,,,,,,
1881,SERBUK CABAI ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),6.464285714285714,,,,,,,6.476923076923077,,,,,6.442857142857143,,,,,,,6.446666666666667,
1882,TUNA CAP AYAM (TUNA MAYONNAISE),160 g,BARANGAN BERBUNGKUS,IKAN DALAM TIN,7.13909090909091,,,,,,,7.16327731092437,,,,,7.168521739130434,,,,,,,7.165123966942149,
1899,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,28.578333333333333,,,,,,,28.624590163934425,,,,,28.712698412698415,,,,,,,28.59242424242424,
1900,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),1kg,BARANGAN KERING,CILI KERING,21.812820512820515,,,,24.39,24.39,,21.93658536585366,28.8,28.8,28.8,28.8,22.058536585365854,28.8,28.8,28.8,28.8,28.8,28.8,22.045238095238094,28.8
1904,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),850g,SUSU DAN BARANGAN BAYI,SUSU BAYI,28.80727272727273,,,,,,,28.810900900900904,,,,,29.09135922330097,,,,,,,29.09174757281553,
1907,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG),1kg,BARANGAN SEGAR,DAGING,52.5,,,,,,,47.75,,,,,47.75,,,,,,,47.75,
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),1kg,BARANGAN SEGAR,DAGING,19.7,,,,,,,19.633333333333333,,,,,20.0,,,,,,,20.0,
1915,IKAN JENAHAK (KEPINGAN),1kg,BARANGAN SEGAR,BAHAN LAUT,42.0,,,,,,,42.0,,,,,,,,,,,,42.0,
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,25.0,,,,,,,18.0,,,,,24.0,,,,,,,25.0,
1918,IKAN TERUBOK (b	$ 4 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,,,,,,,,35.9,,,,,,,35.9,
1920,KERANG (SAIZ SEDERHANA),1kg,BARANGAN SEGAR,BAHAN LAUT,15.277777777777779,,,,,,,15.95,,,,,16.166666666666668,,,,,,,16.083333333333332,
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,IKAN DARAT,16.223809523809525,,,,,,,16.03181818181818,,,,,15.885,,,,,,,15.985,
1922,SADERI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,9.7792,,7.99,,,,,9.783225806451613,6.79,6.79,6.79,6.79,9.70264705882353,6.59,6.59,6.59,6.59,6.59,6.59,9.653714285714285,6.59
1923,TERUNG BULAT,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,12.05409090909091,,17.69,17.69,14.89,14.89,17.69,11.5636,17.69,17.69,17.69,14.89,11.518148148148148,16.89,16.89,16.89,16.89,16.89,16.89,11.421071428571429,16.89
1924,SERBUK KUNYIT ALAGAPPAS,230g,BARANGAN BERBUNGKUS,REMPAH RATUS (BERBUNGKUS),5.220000000000001,,,,,,,5.125,,,,,5.220000000000001,,,,,,,5.220000000000001,
1925,CILI API/PADI MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,,,,,,,,19.0,,,,,,,,,,,,,
1926,CILI AKAR HIJAU,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,14.01867924528302,,9.59,10.29,,,,13.76595744680851,,,9.59,,13.464107142857143,9.59,9.59,9.59,9.59,9.59,9.59,13.54709090909091,9.59
1927,CILI AKAR MERAH,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,20.353,,13.29,12.29,,,12.29,19.1153125,12.29,12.29,12.29,12.29,19.3962962962963,,,11.99,11.99,11.99,11.99,18.8528125,10.59
1928,LIMAU KASTURI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,10.238205128205129,,,8.29,8.29,11.79,11.79,10.2225,11.79,11.79,11.79,11.79,10.222,9.89,10.29,10.29,10.29,10.29,10.29,10.1318,10.29
1930,TELUR AYAM KAMPUNG,10 biji,BARANGAN SEGAR,TELUR,7.078571428571428,,,,,,,7.145454545454545,,,,,7.2272727272727275,,,,,,,7.2272727272727275,
1931,BAWANG BESAR IMPORT (PAKISTAN),1kg,BARANGAN KERING,BAWANG,4.257142857142857,,,,,,,4.220000000000001,,,,,4.316666666666666,,,,,,,4.1499999999999995,
1937,MINYAK MASAK TULEN CAP SAJI,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.9,,,,,,,6.9,,,,,6.9,,,,,,,6.9,
1938,MINYAK MASAK TULEN CAP SAJI,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,,,,,,,13.3,,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
1939,MINYAK MASAK TULEN CAP SAJI,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.856984126984127,,30.9,30.9,30.9,30.9,30.9,30.832374999999995,30.9,30.9,30.9,30.9,30.8340243902439,30.9,30.9,30.9,30.9,30.9,30.9,30.836352941176468,30.9
1940,MINYAK MASAK TULEN CAP ALIF,1kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,6.9,,,,,,,6.9,,,,,6.900000000000001,,,,,,,6.900000000000001,
1941,MINYAK MASAK TULEN CAP ALIF,2 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,13.3,,13.3,13.3,13.3,13.3,13.3,13.266666666666667,13.3,13.3,13.3,13.3,13.224166666666667,12.79,12.79,12.79,12.79,12.79,12.79,13.19076923076923,12.79
1942,MINYAK MASAK TULEN CAP ALIF,5 kg,BARANGAN BERBUNGKUS,MINYAK DAN LEMAK,30.9,,28.49,28.49,28.49,28.49,28.49,30.699411764705882,28.49,30.9,28.49,28.49,30.72052631578947,28.49,28.49,28.49,28.49,28.49,,30.766666666666666,
1943,KACANG MERAH (IMPORT),1kg,BARANGAN KERING,KACANG,12.698039215686276,14.0,,,8.29,8.29,8.29,12.592545454545455,8.29,8.29,8.29,8.29,12.622037037037037,8.29,8.29,9.99,9.99,,,12.764814814814814,
1944,KACANG SOYA (IMPORT),1kg,BARANGAN KERING,KACANG,6.286333333333333,,7.99,7.99,6.29,6.29,6.29,6.226333333333333,6.29,6.29,6.29,6.29,6.226333333333333,6.29,6.29,6.29,6.29,6.29,6.29,6.1738709677419354,6.29
1945,TAUHU (JENIS KERAS),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,0.6467741935483872,,0.75,0.75,0.75,0.75,0.75,0.6596774193548387,0.75,0.75,0.75,0.75,0.6649999999999999,0.75,0.75,0.75,0.75,0.75,0.75,0.6435483870967742,0.75
1946,TEMPE (BUNGKUSAN PLASTIK),sekeping,BARANGAN SEGAR,TAUHU DAN TEMPE,1.3906818181818181,,1.69,1.69,1.69,1.69,1.69,1.399767441860465,1.69,1.69,1.69,1.69,1.3783333333333334,1.69,1.69,1.69,1.69,1.69,1.69,1.375952380952381,1.69
1947,SERBUK PENAIK ROYAL (TIN),113g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,5.825,,,,,,,5.81046511627907,,,,,5.817441860465117,,,,,,,5.839285714285714,
1948,RAGI BULAT/RAGI TAPAI,1 biji,BARANGAN BERBUNGKUS,ESEN DAN RAGI,1.4000000000000001,,,,,,,1.44,,,,,1.44,,,,,,,1.44,
1949,ROTI WHOLEMEAL (PELBAGAI JENAMA),400 g,BARANGAN BERBUNGKUS,ROTI,,,,,,,,,,,,,5.5,,,,,,,,
1950,BUNGA RAYA YIS SEGERA,11g,BARANGAN BERBUNGKUS,ESEN DAN RAGI,1.2,,,,,,,1.2,,,,,1.2,,,,,,,1.2,
1951,BERAS SUPER CAP 3A BOY (IMPORT),10 kg,BARANGAN BERBUNGKUS,BERAS,29.450000000000003,,,,,,,29.50588235294118,,,,,29.475,,,,,,,29.352941176470587,
1952,KRIMER SEJAT CAP F&N,390g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,4.067977528089887,,,,,,,4.079431818181818,,,,,4.070119047619047,,,,,,,4.0769879518072285,
1953,KRIMER MANIS PEKAT CAP SAJI,500 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,3.347972972972973,,,,,,,3.346341463414634,,,,,3.3566265060240967,,,,,,,3.369662921348315,
1954,SUSU TEPUNG SEGERA EVERYDAY,900 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,29.10851063829787,,,,,,,29.023749999999996,,,,,29.054222222222222,,,,,,,29.03720930232558,
1955,YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),130g,MINUMAN,TERSEDIA MINUM,,,,,,,,,,,,,2.5173076923076922,,,,,,,,
