item_code,item,unit,item_group,item_category,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-14,2026-02-15,2026-02-16,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,10.27,10.185977011494254,10.270733944954129,10.253693693693695,10.272818181818181,10.253744292237444,10.286451612903225,10.268151658767772,10.273879781420765,10.286575342465754,10.278597285067875,10.25868778280543,10.27589861751152,10.291915887850466,10.27050505050505,10.370466666666665,10.271044776119403,10.262723004694836,10.260366972477065,10.288695652173914,10.260963302752293,10.284366197183099,10.268617511520738,10.267188940092167,10.269372197309417
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,12.1,12.1,11.819354838709677,11.822258064516129,11.822258064516129,11.85625,11.81875,11.81875,11.923333333333334,11.809666666666667,11.835357142857143,11.831785714285715,11.893333333333334,11.856333333333334,11.867500000000001,11.9476,11.92,11.857272727272727,11.857272727272727,11.77107142857143,11.806129032258065,11.861379310344828,11.761724137931036,11.734137931034484,11.77032258064516
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,33.666666666666664,33.25,,,33.53846153846154,,,,,,,34.166666666666664,33.411764705882355,,,,,
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,,,,34.5,31.5,,,33.22222222222222,,,,,,,35.25,31.5,,,,,
11,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - AUSTRALIA),1kg,BARANGAN SEGAR,DAGING,,,,,,,,46.0,45.142857142857146,,,47.0,,,,,,,47.0,45.42857142857143,,,,,
12,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (MUTTON) (TIDAK TERMASUK PAHA - NEW ZEALAND),1kg,BARANGAN SEGAR,DAGING,,,,,,35.0,,46.0,46.0,,,44.833333333333336,,,,,,,47.0,40.5,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,,,,23.5,23.403225806451612,,,23.966666666666665,,,,,,,23.571428571428573,23.614285714285714,,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,7.5,,,,,
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,7.5,,,,,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,4.5,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,23.0,,,,,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,,,,,,,,,,,,,,,,10.0,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,,26.0,,28.0,27.23840579710145,,20.0,27.91705882352941,,,,,,,31.333333333333332,27.776315789473685,,,,,
