item_code,item,unit,item_group,item_category,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-27,2024-08-28,2024-08-29,2024-08-30
1,AYAM BERSIH - STANDARD,1kg,BARANGAN SEGAR,AYAM,8.766666666666667,8.766666666666667,8.766666666666667,8.666666666666666,8.327476635514019,8.05,8.666666666666666,8.666666666666666,8.666666666666666,8.433333333333332,8.15304761904762,9.2,9.2,9.2,9.2,8.533333333333333,8.533333333333333,8.346454545454545,8.2,8.2,8.558,8.533333333333333,8.2,8.533333333333333,8.35
2,AYAM BERSIH - SUPER,1kg,BARANGAN SEGAR,AYAM,11.6,11.6,11.6,11.6,11.602,11.6,11.6,11.6,11.6,11.6,11.544210526315789,11.6,11.6,11.6,11.6,11.6,11.6,11.558333333333334,,11.6,11.6,11.6,11.6,11.6,11.6
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),1kg,BARANGAN SEGAR,DAGING,30.5,30.5,30.5,30.5,29.183333333333334,30.5,30.5,30.5,30.5,30.5,29.34833333333333,30.5,30.5,30.5,30.5,30.5,30.5,29.34833333333333,30.5,30.5,30.5,30.5,30.5,30.5,30.5
10,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (NEW ZEALAND - KOTAK),1kg,BARANGAN SEGAR,DAGING,,,,,31.65,,,,,,31.65,,,,,,,31.65,,,,,,,
14,DAGING KERBAU IMPORT (INDIA) * (TOP SIDE),1kg,BARANGAN SEGAR,DAGING,,,,,23.125714285714285,,,,21.9,21.9,22.98315789473684,,,,,21.9,21.9,22.792777777777776,21.9,21.9,21.9,,,,
16,BETIK BIASA,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.5,4.5,,,6.08375,,,,,,6.2457142857142856,,,,,,,6.050666666666667,,,,,6.9,6.9,6.9
18,PISANG BERANGAN,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.2,7.2,7.2,7.2,6.576666666666667,7.2,7.2,6.5,6.0,5.5,6.517317073170733,7.9,6.7,7.9,,6.5,6.5,6.6625,6.633333333333333,6.633333333333333,6.0,5.5,,,6.5
19,PISANG EMAS,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,6.3812500000000005,,,,,,6.216666666666667,,,,,,,6.296,,,,,,,
20,TEMBIKAI MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,4.417,,,,6.5,6.5,4.835,6.5,6.5,6.5,6.5,6.5,6.5,4.73,6.5,6.5,6.5,6.5,6.5,6.5,
21,TEMBIKAI MERAH TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,4.4,4.4,4.35,4.35,3.7207999999999997,4.5,4.5,4.85,3.9,3.9,3.7518644067796614,3.9,3.9,3.9,3.9,3.9,3.9,4.05875,4.2,4.2,4.345000000000001,2.9,2.9,2.9,2.9
22,DRAGON FRUIT MERAH,1kg,BARANGAN SEGAR,BUAH-BUAHAN,7.7,7.7,7.7,7.7,8.393030303030304,6.9,6.9,6.9,7.0,7.0,8.344482758620689,,,9.5,8.2,8.2,6.9,8.4809375,7.7,7.7,7.7,7.9,7.9,7.9,7.9
24,TEMBIKAI SUSU,1kg,BARANGAN SEGAR,BUAH-BUAHAN,5.9,5.9,5.9,5.9,6.186923076923078,5.9,5.9,5.9,5.9,5.9,6.317857142857143,6.5,6.5,6.5,6.5,6.5,6.5,6.630588235294118,6.5,6.5,6.5,6.5,6.5,6.5,6.5
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,3.2,3.2,3.2,3.2,4.608644067796611,3.2,3.2,3.2,3.2,3.2,4.587000000000001,3.2,3.2,3.2,3.2,3.2,3.2,4.534590163934427,,,4.595000000000001,3.6,3.6,3.6,3.6
26,ANGGUR HIJAU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,18.9,,,,,,,,,,,,,,,,,,,,
27,ANGGUR MERAH BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,13.8,13.8,13.8,13.8,20.398125,,15.8,15.8,15.8,15.8,18.88681818181818,15.8,15.8,15.8,15.8,15.8,15.8,18.255,15.8,15.8,15.8,15.8,15.8,15.8,15.8
31,LAI KUNING (SAIZ M),1 biji,BARANGAN SEGAR,BUAH-BUAHAN,,,,,1.995,,,,,,2.1633333333333336,,,,,,,2.1633333333333336,,,,,,,
38,JAMBU BATU BERBIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,6.674444444444444,,,,,,6.723333333333333,,,,,,,7.01,,,,,,,
39,JAMBU BATU TANPA BIJI,1kg,BARANGAN SEGAR,BUAH-BUAHAN,,,,,8.14,,,,,,8.459999999999999,,,,,,,9.133333333333333,,,,,,,
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,24.433333333333334,24.433333333333334,24.433333333333334,24.433333333333334,27.120652173913044,25.099999999999998,25.433333333333334,25.099999999999998,25.099999999999998,25.099999999999998,27.077727272727273,25.2,24.433333333333334,24.433333333333334,25.433333333333334,24.7,26.099999999999998,26.94787234042553,26.325,26.325,28.1,26.933333333333334,26.325,25.2,24.099999999999998
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,8.4,9.7,9.4,7.9,11.16271186440678,8.4,9.8,8.866666666666667,8.65,9.200000000000001,10.604603174603175,9.4,10.15,9.066666666666668,9.066666666666668,9.066666666666668,8.200000000000001,10.747543859649124,8.533333333333333,9.8,9.375,9.7,8.933333333333334,8.6,9.0
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),1kg,BARANGAN SEGAR,BAHAN LAUT,,,12.5,,11.260909090909092,11.9,12.5,12.5,12.5,10.9,11.474166666666667,,,,,11.9,10.9,10.5475,11.9,11.9,11.9,12.5,13.9,11.5,11.9
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),1kg,BARANGAN SEGAR,BAHAN LAUT,,,,,29.607499999999998,,,,25.9,25.9,29.570909090909087,,,,,19.9,19.9,30.099230769230765,19.9,19.9,,22.9,22.9,,
52,KEPALA IKAN JENAHAK,1kg,BARANGAN SEGAR,BAHAN LAUT,23.9,23.9,19.9,19.9,22.96285714285714,19.9,22.9,19.9,22.9,19.9,22.467499999999998,22.9,19.9,19.9,19.9,19.9,19.9,22.607999999999997,19.9,,19.9,19.9,19.9,19.9,19.9
